#SAMPLE,R1 RAW READS,R2 RAW READS,TRIM INPUT READS,TRIM SURVIVING READS,TRIM SURVIVING READS %,INPUT READS,MAPPED READS (MQ10),MAPPED %,CHIMERIC %,MAPPED READS,DEDUPLICATED READS,DUPLICATES %,ON-TARGET,ON-TARGET 100BP PAD,ON-TARGET 500BP PAD,MEAN COVERAGE,MEDIAN COVERAGE,%_bases_above_10,%_bases_above_50,%_bases_above_100,%_bases_above_500
SRR2129255,143157709,143157709,143157709,134818387,94.10%,269636774,261771930,97.00%,0.19%,261771930,239705426,8.42%,56.90%,72.90%,78.90%,75.03,17,52.6,42.4,29.8,0.9
SRR2129257,206952387,206952387,206952387,198689206,96.00%,397378412,386178880,97.10%,0.20%,386178880,343644387,11.00%,57.00%,73.00%,78.90%,108.31,25,54.8,46,38.2,2.9
SRR2129259,87643626,87643626,87643626,84797246,96.70%,169594492,164178216,96.80%,0.55%,164178216,156243964,4.83%,54.70%,70.10%,76.10%,47.35,11,50.4,34.6,16.7,0.1
SRR2129261,121170086,121170086,121170086,116733687,96.30%,233467374,226918404,97.10%,0.14%,226918404,201914308,11.00%,56.80%,72.50%,78.20%,63.56,14,51.7,40.4,25.4,0.4
SRR2129264,114328553,114328553,114328553,110738479,96.80%,221476958,215026035,97.00%,0.14%,215026035,194802529,9.40%,58.70%,74.60%,79.80%,63.34,13,51.1,39.6,24.9,0.5
SRR2129266,245370280,245370280,245370280,237071933,96.60%,474143866,460949686,97.20%,0.17%,460949686,398531534,13.50%,56.60%,72.50%,78.60%,124.96,30,56.2,47,40.6,4.4
SRR2129268,113517669,113517669,113517669,110442271,97.20%,220884542,213875856,96.80%,0.52%,213875856,201820950,5.63%,54.70%,70.00%,76.00%,61.3,14,51.8,39.1,23.2,0.5
SRR2129270,107372592,107372592,107372592,104424172,97.20%,208848344,202441111,96.90%,0.58%,202441111,191280026,5.51%,55.80%,71.40%,77.30%,59.17,14,51.4,38.8,22.5,0.4
SRR2129272,157609580,157609580,157609580,150891871,95.70%,301783742,292680825,96.90%,0.39%,292680825,264430304,9.65%,56.70%,72.40%,78.30%,82.99,19,53.2,43.3,32.1,1.2
SRR2129274,69815887,69815887,69815887,66994871,95.90%,133989742,130248911,97.20%,0.18%,130248911,121353070,6.82%,58.20%,74.40%,80.10%,38.95,9,49.2,30.3,12.4,0
SRR2129276,67498517,67498517,67498517,63595086,94.20%,127190172,123628579,97.10%,0.20%,123628579,116492839,5.77%,58.30%,74.70%,80.60%,37.34,9,49,29.5,11.5,0
SRR2129278,254350089,254350089,254350089,233395686,91.70%,466791372,453686705,97.10%,0.17%,453686705,403385559,11.00%,54.90%,70.30%,76.30%,X,X,X,X,X,X
SRR2129280,117944785,117944785,117944785,114010448,96.60%,228020896,221753925,97.20%,0.19%,221753925,202919373,8.49%,58.00%,74.10%,79.90%,65.17,15,51.8,40.4,25.7,0.5
SRR2129282,103387478,103387478,103387478,97344038,94.10%,194688076,188945697,97.00%,0.42%,188945697,174049772,7.88%,56.00%,71.70%,77.70%,53.77,13,51,37.8,20.8,0.2
